id,code,name,user_type_id/id
"voedselcoop_1295","1295","KRUISPOSTEN KAS","account.data_account_type_fixed_assets"
"voedselcoop_1296","1296","KRUISPOSTEN BANK","account.data_account_type_fixed_assets"
"voedselcoop_1297","1297","KRUISPOSTEN PIN","account.data_account_type_fixed_assets"
"voedselcoop_4401","4401","DERVING AGF","account.data_account_type_expenses"
"voedselcoop_4402","4402","DERVING BROOD & BANKET","account.data_account_type_expenses"
"voedselcoop_4403","4403","DERVING KAAS & DELICATESSEN","account.data_account_type_expenses"
"voedselcoop_4404","4404","DERVING VLEES & VIS","account.data_account_type_expenses"
"voedselcoop_4405","4405","DERVING KOELVERS","account.data_account_type_expenses"
"voedselcoop_4406","4406","DERVING KRUIDENIERSWAREN","account.data_account_type_expenses"
"voedselcoop_4407","4407","DERVING NON-FOOD","account.data_account_type_expenses"
"voedselcoop_4408","4408","DERVING TRAITEUR - RESTAURANT","account.data_account_type_expenses"
"voedselcoop_4410","4410","DERVING DIEPVRIES","account.data_account_type_expenses"
"voedselcoop_7301","7301","KOSTPRIJS VAN DE OMZET AGF","account.data_account_type_expenses"
"voedselcoop_7302","7302","KOSTPRIJS VAN DE OMZET BROOD & BANKET","account.data_account_type_expenses"
"voedselcoop_7303","7303","KOSTPRIJS VAN DE OMZET KAAS & DELICATESSEN","account.data_account_type_expenses"
"voedselcoop_7304","7304","KOSTPRIJS VAN DE OMZET VLEES & VIS","account.data_account_type_expenses"
"voedselcoop_7305","7305","KOSTPRIJS VAN DE OMZET KOELVERS","account.data_account_type_expenses"
"voedselcoop_7306","7306","KOSTPRIJS VAN DE OMZET KRUIDENIERSWAREN","account.data_account_type_expenses"
"voedselcoop_7307","7307","KOSTPRIJS VAN DE OMZET NON-FOOD","account.data_account_type_expenses"
"voedselcoop_7308","7308","KOSTPRIJS VAN DE OMZET TRAITEUR - RESTAURANT","account.data_account_type_expenses"
"voedselcoop_7309","7309","KOSTPRIJS VAN DE OMZET STATIEGELD","account.data_account_type_expenses"
"voedselcoop_7310","7310","KOSTPRIJS VAN DE OMZET DIEPVRIES","account.data_account_type_expenses"
"voedselcoop_8001","8001","OMZET AGF","account.data_account_type_expenses"
"voedselcoop_8002","8002","OMZET BROOD & BANKET","account.data_account_type_expenses"
"voedselcoop_8003","8003","OMZET KAAS & DELICATESSEN","account.data_account_type_expenses"
"voedselcoop_8004","8004","OMZET VLEES & VIS","account.data_account_type_expenses"
"voedselcoop_8005","8005","OMZET KOELVERS","account.data_account_type_expenses"
"voedselcoop_8006","8006","OMZET KRUIDENIERSWAREN","account.data_account_type_expenses"
"voedselcoop_8007","8007","OMZET NON-FOOD","account.data_account_type_expenses"
"voedselcoop_8008","8008","OMZET TRAITEUR - RESTAURANT","account.data_account_type_expenses"
"voedselcoop_8009","8009","OMZET STATIEGELD","account.data_account_type_expenses"
"voedselcoop_8010","8010","OMZET DIEPVRIES","account.data_account_type_expenses"
